@relation songs

@attribute Danceability REAL
@attribute Energy REAL
@attribute Key REAL
@attribute Loudness REAL
@attribute Mode REAL
@attribute Speechiness REAL
@attribute Acousticness REAL
@attribute Instrumentalness REAL
@attribute Liveness REAL
@attribute Valance REAL
@attribute Tempo REAL

@attribute class{metal, mexicano, pop, rock}

@data
0.389, 0.71, 5, -6.265, 1, 0.0351, 0.161, 0, 0.918, 0.666, 160.397, mexicano
0.442, 0.396, 9, -9.648, 1, 0.0316, 0.749, 0, 0.956, 0.465, 139.701, mexicano
0.647, 0.477, 0, -8.157, 1, 0.0342, 0.0374, 0.00000928, 0.127, 0.794, 112.043, mexicano
0.634, 0.407, 2, -7.464, 1, 0.0323, 0.447, 0.00000158, 0.111, 0.452, 97.56, mexicano
0.477, 0.584, 4, -7.837, 1, 0.0385, 0.4, 0.00007, 0.932, 0.651, 101.79, mexicano
0.521, 0.491, 2, -7.321, 1, 0.0284, 0.227, 0.00000186, 0.694, 0.724, 100.132, mexicano
0.606, 0.765, 11, -7.371, 1, 0.0368, 0.138, 0.00000251, 0.364, 0.811, 125.71, mexicano
0.841, 0.58, 7, -5.571, 1, 0.0525, 0.461, 0, 0.0613, 0.907, 101.958, mexicano
0.615, 0.471, 10, -6.783, 1, 0.0306, 0.515, 0.00000706, 0.17, 0.931, 113.378, mexicano
0.625, 0.433, 9, -12.963, 1, 0.0366, 0.376, 0.00103, 0.248, 0.274, 93.04, mexicano
0.485, 0.455, 7, -5.957, 1, 0.0301, 0.62, 0.00000142, 0.109, 0.378, 98.399, mexicano
0.552, 0.176, 4, -12.874, 1, 0.051, 0.949, 0.0000368, 0.113, 0.508, 146.933, mexicano
0.77, 0.585, 0, -8.06, 1, 0.0285, 0.3, 0, 0.116, 0.912, 116.994, mexicano
0.453, 0.471, 10, -7.425, 0, 0.0408, 0.884, 0.00136, 0.0576, 0.674, 139.371, mexicano
0.418, 0.62, 5, -4.61, 1, 0.0396, 0.428, 0.784, 0.35, 0.858, 140.581, mexicano
0.501, 0.492, 9, -5.251, 1, 0.033, 0.383, 0, 0.176, 0.542, 122.173, mexicano
0.755, 0.21, 4, -10.475, 1, 0.0343, 0.942, 0.00000663, 0.114, 0.476, 99.988, mexicano
0.325, 0.387, 10, -8.7, 1, 0.0305, 0.748, 0, 0.537, 0.294, 70.49, mexicano
0.774, 0.442, 9, -5.918, 1, 0.0528, 0.564, 0.00000107, 0.0563, 0.942, 126.22, mexicano

0.702, 0.84, 0, -3.547, 1, 0.0879, 0.0112, 0, 0.119, 0.624, 101.99, pop
0.678, 0.679, 1, -7.093, 1, 0.0644, 0.301, 0.000136, 0.112, 0.218, 119.977, pop
0.584, 0.739, 2, -4.72, 1, 0.0435, 0.216, 0, 0.188, 0.351, 104.884, pop
0.755, 0.722, 7, -6.097, 1, 0.038, 0.00584, 0.00104, 0.0746, 0.133, 115.03, pop
0.519, 0.554, 0, -6.412, 1, 0.0385, 0.381, 0, 0.115, 0.194, 153.676, pop
0.258, 0.437, 11, -6.593, 0, 0.039, 0.101, 0.00000127, 0.106, 0.0967, 180.043, pop
0.613, 0.764, 2, -6.509, 1, 0.136, 0.0527, 0, 0.197, 0.417, 160.015, pop
0.836, 0.716, 5, -5.211, 0, 0.0549, 0.0196, 0.0000183, 0.101, 0.534, 119.938, pop
0.375, 0.93, 2, -2.631, 1, 0.0561, 0.00064, 0, 0.318, 0.491, 147.124, pop
0.893, 0.745, 11, -3.105, 0, 0.0571, 0.0642, 0, 0.0943, 0.872, 101.018, pop
0.768, 0.517, 7, -4.323, 0, 0.0312, 0.186, 0.000038, 0.104, 0.418, 104.992, pop
0.853, 0.56, 1, -4.961, 1, 0.0406, 0.013, 0, 0.0944, 0.86, 134.066, pop
0.599, 0.448, 8, -6.312, 1, 0.0232, 0.163, 0, 0.106, 0.168, 95.05, pop
0.825, 0.652, 1, -3.183, 0, 0.0802, 0.581, 0, 0.0931, 0.931, 95.977, pop
0.698, 0.375, 5, -8.279, 1, 0.0491, 0.652, 0, 0.173, 0.534, 91.92, pop
0.747, 0.701, 2, -4.902, 1, 0.0429, 0.108, 0, 0.0712, 0.589, 100.012, pop
0.818, 0.803, 1, -4.282, 1, 0.0797, 0.034, 0, 0.153, 0.632, 106.97, pop
0.73, 0.703, 0, -5.672, 0, 0.0369, 0.109, 0, 0.0657, 0.595, 138.113, pop
0.648, 0.738, 6, -5.883, 0, 0.247, 0.0408, 0, 0.292, 0.603, 159.145, pop
0.795, 0.615, 5, -5.211, 0, 0.0671, 0.0786, 0.00000298, 0.0855, 0.393, 110.009, pop
0.515, 0.847, 5, -2.951, 1, 0.039, 0.00369, 0.0000666, 0.293, 0.645, 168.104, pop
